dummies rounds
1 44.58209854234437
2 73.28567511994487
3 99.63399621212147
4 122.85351826792973
5 145.22970793764597
6 169.38689923919145
7 191.9366422259821
8 212.65320930232562
9 237.10700969425824
10 257.3126739654864
11 280.6557407068299
12 307.94182621502216
13 325.7731107521085
14 342.4705364995612
15 373.59015256588066
16 394.0104676684118
17 414.46953465015065
18 431.2380261248182
19 452.37091844941267
20 469.2783115451266
21 485.2268104776585
22 509.97898773006125
23 521.1930848675347
24 541.0046261751969
25 558.3998248942062
26 569.030185979972
27 586.9023909985942
28 605.2519083969438
29 628.5173422482259
30 633.3089374654149
31 649.1379263114642
32 670.8373730534878
33 678.7446665772152
34 702.3047479327804
35 707.1102941176458
36 728.3926053996562
37 743.6353752320342
38 746.8324833267945
39 760.4524495677217
40 778.8302304387435
41 784.8083646251469
42 801.215945981042
43 817.000130531262
44 822.0169381949817
45 839.1828527091697
46 851.0664344685257
47 857.5691578002854
48 871.9859045648503
49 887.6804096979137
50 893.2840482052592
51 904.1620090148112
52 914.2488769092556
53 935.3766787190061
54 944.2109617373319
55 953.9208494208488
56 968.696056884293
57 979.5413788609428
58 983.2316076294243
59 988.5571874187665
60 1005.534574814428
61 1022.299436508979
62 1026.3848358520095
63 1042.4588388780166
64 1048.746652801247
65 1064.835630689207
66 1065.0511512297214
67 1074.8895165528127
68 1094.1132596685118
69 1097.7080474934069
70 1107.0636664460592
71 1109.7117442482624
72 1132.5181914052257
73 1140.6314243759173
74 1147.5550807851548
75 1149.632736911866
76 1160.660522066748
77 1176.174424826109
78 1176.0516847899057
79 1189.9517811187854
80 1193.7832149081726
81 1222.922888283382
82 1216.2978005667242
83 1214.3629741616248
84 1232.929824561404
85 1242.246723102129
86 1250.5643791290256
87 1251.8076923076871
88 1267.7145019262562
89 1263.7213408746034
90 1282.1448475651812
91 1290.3432067862536
92 1296.1590435145292
93 1304.284864416162
94 1299.327143256074
95 1302.3613184955627
96 1324.551622831559
97 1345.3746490735523
98 1341.211741517672
99 1346.9038325555084
100 1357.4805488753718
