dummies variance
1 33.92628527139961
2 57.10921441207838
3 85.5903193189815
4 111.61828115517507
5 129.68063867657096
6 146.77099885671885
7 167.30598368575698
8 174.8002193334312
9 182.3588266826335
10 189.7441141705272
11 193.04801333956482
12 201.8218308360091
13 213.88020476327893
14 217.5079063412997
15 211.89760821795997
16 222.38415383396082
17 225.07457361404607
18 238.24847442708696
19 235.37199782460786
20 239.3714101740766
21 245.9966356821242
22 246.11354350819627
23 245.10521889954546
24 253.6280949918887
25 257.35223034408597
26 258.88830305982015
27 263.4718801759888
28 264.80009573295126
29 266.0555882705333
30 277.2766503479647
31 273.0777066425967
32 283.55792445278826
33 282.4611000887039
34 285.1408207746111
35 293.880825686799
36 293.48970248689733
37 295.3857214926427
38 302.6080160439421
39 303.2959887131893
40 304.23762740707156
41 314.39978207215427
42 314.7461711270976
43 314.6430188223042
44 313.7105962223357
45 325.5137073959047
46 323.80554868104645
47 325.55836869137516
48 338.38327747494293
49 334.5358434690568
50 330.58552453856953
51 341.17539934393005
52 351.1673305332287
53 349.60935280533914
54 356.64645225483576
55 358.32490433775416
56 358.6543156887998
57 368.9262336538047
58 366.42946879062015
59 378.9102672189971
60 372.51339254351
61 384.6499249254458
62 381.87902064676763
63 382.2008580836056
64 386.6860961346127
65 391.50987501592175
66 392.2479537975195
67 404.2040072242079
68 405.94299129904385
69 406.21045953168186
70 407.387762842966
71 416.84458356659786
72 425.1590068527656
73 424.50930945963887
74 427.6158068973697
75 426.7602170805343
76 434.8127399847779
77 433.254770056637
78 436.2147112442513
79 434.6110364219141
80 440.8532526755516
81 454.6641538146957
82 453.66688105022604
83 454.6198053165103
84 455.52309515035057
85 454.3696806132472
86 463.0086442225105
87 474.9590235270734
88 469.01323558467976
89 484.0627368217871
90 483.4940378730945
91 487.1985733093706
92 484.19738946787936
93 493.86837390489666
94 498.80962615401336
95 506.3281588159265
96 494.98202507318035
97 508.26337551250657
98 522.4611710110869
99 503.26217613733706
100 518.6803260535822
