rounds sd
1 25.038847368659376
2 66.22970076852899
3 43.44551066214109
4 85.42023931101234
5 178.38778433513883
6 96.8751484060707
7 102.06512592729973
8 95.2791028401114
9 225.81712349573692
10 196.91146991510422
11 149.23704728046496
12 231.18914656099952
13 157.3303581639602
14 230.14984336297084
15 157.42546017148587
16 256.72413978941927
17 284.36076494983826
18 184.29412671535934
19 279.0605462288398
20 235.97049898003965
21 249.83932410615924
22 225.31661634242602
23 249.4842307192
24 269.02626758935867
25 246.33251226182512
26 265.9393695260047
27 207.68719224274167
28 289.9119917543305
29 233.27620613171356
30 278.10017100491103
31 328.79120773527944
32 215.15601175328348
33 264.4882835329389
34 407.7478358005104
35 238.57427763783176
36 278.4456399371339
37 234.2329543917271
38 240.90586907566626
39 232.46818513635736
40 255.55053366233074
41 181.75907390484133
42 353.86868276644253
43 428.3597035965159
44 267.4887718308108
45 304.0618845393642
46 307.0287126638159
47 335.63027475445045
48 281.9845358590588
49 328.00212130660475
50 272.1749201259323
51 401.4573157028789
52 279.9080576011687
53 369.0577719724304
54 350.66294147045255
55 470.8918449070869
56 384.9826024207674
57 356.20368011629955
58 303.8638010688341
59 346.4273195853671
60 463.59074365220016
61 346.47081362123134
62 278.212215731532
63 381.69126019892684
64 314.128227336985
65 391.8119426459586
66 216.7543981925222
67 262.6977389910426
68 524.1790152228531
69 181.99905032990597
70 424.54161191444297
71 351.61049800552354
72 462.20822440576865
73 530.1741087605091
74 348.1167620210208
75 411.5690112489133
76 400.398797133011
77 408.0264085431078
78 378.97328628107505
79 471.5648496308937
80 383.6767264247338
81 619.602851661435
82 632.778128572725
83 398.42775711614723
84 579.8896363964438
85 608.6364413246495
86 440.86243886273644
87 445.31769929544134
88 458.34083137806226
89 615.5466391188855
90 466.09173423897784
91 429.2837308820356
92 308.78450942994033
93 478.63788214288076
94 592.3225791806212
95 448.687963833318
96 445.729222668683
97 454.0709182058796
98 498.3174222402108
99 556.0573246203028
100 444.67624958181517
